pore_id,num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,mirror_vertical,mirror_90_clock_vertical,mirror_150_clock_vertical,mirror_30_clock_vertical,mirror_60_clock_vertical,mirror_120_clock_vertical,time,probability,unique_id
1,8,8,2,0,0,26,10,2,13.57073908,0.602920855,1,0,0,0,0,0,0,0,0,0,0,0,131.74,0.004,1
2,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.76,0.0175,14
3,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,0,1,0,0,119.87,0.1896,3
4,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,122.7,0.2286,10
5,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
6,8,4,4,0,1,25,10,3,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,128.8,0.0067,29
7,8,6,4,0,0,26,10,2,13.57073908,0.602920855,1,0,0,1,0,0,0,0,0,0,0,0,129.68,0.0018,54
8,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,121.74,0.1896,3
9,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.18,0.0125,42
10,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0082,2
11,8,6,2,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,130.13,0.0093,15
12,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,119.87,0.1896,3
13,8,2,8,0,0,26,10,4,11.3808,0.718937299,1,0,0,0,0,0,0,1,0,0,0,0,129.76,0.0118,35
14,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,1,0,0,0,118.91,0.1896,3
15,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,1,0,122.7,0.1442,8
16,8,4,6,0,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.18,0.01,52
17,8,4,4,0,1,25,10,5,9.9582,0.821642627,1,0,0,0,0,0,1,0,0,0,0,0,129.76,0.0097,9
18,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,122.7,0.2286,10
19,8,4,4,0,1,25,10,3,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.76,0.0067,29
20,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,122.7,0.1896,3
21,8,4,6,0,0,26,10,4,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.63,0.0205,7
22,8,7,2,1,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,131.03,0.0075,16
23,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,0,1,0,0,119.87,0.1896,3
24,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,1,0,120.37,0.1442,8
25,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,122.7,0.2286,10
26,8,10,0,0,0,26,10,2,14.01098511,0.583976183,1,0,0,1,0,0,0,0,0,0,0,0,132.72,0.0033,26
27,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,1,0,1,0,121.74,0.0652,5
28,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,118.91,0.2286,10
29,8,4,4,0,1,25,10,3,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,128.8,0.0067,29
30,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,120.37,0.1442,8
31,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
32,8,2,8,0,0,26,10,4,11.3808,0.718937299,1,0,0,0,0,0,0,1,0,0,0,0,129.76,0.0118,35
33,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,0,1,0,1,120.37,0.0652,5
34,8,2,8,0,0,26,10,4,11.3808,0.718937299,1,0,0,0,0,0,0,0,1,0,0,0,129.76,0.0118,35
35,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,121.08,0.1442,8
36,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,121.08,0.2286,10
37,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,1,0,0,0,0,0,119.41,0.1442,8
38,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,1,0,0,0,0,0,130.97,0.0111,11
39,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,124.83,0.2286,10
40,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,1,0,1,0,121.74,0.0652,5
41,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.76,0.0143,23
42,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,121.08,0.2286,10
43,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
44,8,6,2,0,1,25,10,4,11.3808,0.718937299,1,0,0,0,0,0,0,0,0,0,0,0,130.13,0.0044,47
45,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0078,48
46,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,1,0,124.83,0.1442,8
47,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,121.74,0.1896,3
48,8,6,4,0,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,132.29,0.0089,36
49,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,1,0,129.76,0.0111,11
50,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.41,0.2286,10
51,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,120.37,0.2286,10
52,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,122.7,0.1896,3
53,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,121.74,0.2286,10
54,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,121.74,0.2286,10
55,8,8,2,0,0,26,10,3,12.40193927,0.659742112,1,0,0,0,0,0,0,0,0,0,0,0,132.72,0.0066,31
56,8,6,2,0,1,25,10,3,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,130.63,0.0045,4
57,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,118.91,0.2286,10
58,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0078,48
59,8,4,6,0,0,26,10,4,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.08,0.0205,7
60,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,122.7,0.2286,10
61,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
62,8,6,4,0,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.18,0.0108,40
63,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,1,0,0,0,122.7,0.1896,3
64,8,5,4,1,0,26,10,3,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,130.63,0.0091,21
65,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
66,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,1,0,1,0,122.7,0.0652,5
67,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,122.7,0.2286,10
68,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,1,0,0,0,0,0,121.74,0.1442,8
69,8,4,6,0,0,26,10,3,11.3808,0.718937299,1,0,0,0,0,0,0,0,0,0,0,0,129.18,0.0139,22
70,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,122.7,0.1442,8
71,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,1,0,120.37,0.1442,8
72,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.13,0.0125,42
73,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
74,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,121.74,0.2286,10
75,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,122.7,0.1442,8
76,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,1,0,1,0,121.74,0.0652,5
77,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,0,1,0,0,122.7,0.1896,3
78,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
79,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,1,0,1,0,121.74,0.0652,5
80,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,122.7,0.1442,8
81,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.84,0.0082,2
82,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,1,0,0,0,122.7,0.1896,3
83,8,7,0,1,1,24,10,2,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,130.83,0.0015,50
84,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.76,0.0175,14
85,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.13,0.0017,57
86,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,124.83,0.1442,8
87,8,6,4,0,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.63,0.0076,18
88,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
89,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,124.83,0.2286,10
90,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,119.87,0.1896,3
91,8,6,2,0,1,25,10,3,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0045,4
92,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,1,1,0,0,0,0,122.7,0.0652,5
93,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,1,0,121.74,0.1442,8
94,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,119.87,0.1896,3
95,8,4,6,0,0,26,10,4,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0205,7
96,8,7,2,1,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,132.29,0.0075,16
97,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,120.58,0.2286,10
98,8,7,2,1,0,26,10,2,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,131.54,0.0038,46
99,8,2,8,0,0,26,10,4,11.3808,0.718937299,1,0,0,0,0,0,0,0,1,0,0,0,130.63,0.0118,35
100,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,118.91,0.1896,3
101,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,124.83,0.2286,10
102,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
103,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,1,0,0,0,0,0,122.7,0.1442,8
104,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,1,0,1,0,122.7,0.0652,5
105,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,1,0,0,0,0,0,122.7,0.1442,8
106,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
107,8,6,2,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.18,0.0093,15
108,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,0,1,0,0,121.74,0.1896,3
109,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,119.87,0.1896,3
110,8,6,2,0,1,25,10,4,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.13,0.0117,30
111,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,128.8,0.0131,33
112,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,124.83,0.2286,10
113,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,118.91,0.2286,10
114,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,0,0,1,0,0,119.87,0.1896,3
115,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,122.7,0.1442,8
116,8,8,0,0,0,22,9,2,11.3808,0.682043808,1,0,0,1,0,0,0,0,0,1,0,1,122.7,0.0652,5
117,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,119.87,0.1896,3
118,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.13,0.0125,42
119,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,118.91,0.2286,10
120,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0125,42
121,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,119.87,0.2286,10
122,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.76,0.0175,14
123,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,1,124.83,0.1442,8
124,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,122.7,0.2286,10
125,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,121.74,0.1896,3
126,8,2,8,0,0,26,10,4,11.64448285,0.7026573620000001,1,0,0,1,0,0,0,0,0,0,0,0,129.76,0.0137,17
127,8,4,6,0,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0098,20
128,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,122.7,0.2286,10
129,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,1,0,129.76,0.0111,11
130,8,8,0,0,0,22,9,2,9.9582,0.7794786370000001,1,0,0,0,0,0,1,0,0,0,0,0,124.83,0.1442,8
131,8,6,4,0,0,26,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,130.63,0.0072,49
132,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,120.58,0.2286,10
133,8,6,4,0,0,26,10,2,11.64448285,0.7026573620000001,1,0,0,1,0,0,0,0,0,0,0,0,130.08,0.0019,51
134,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,124.83,0.1896,3
135,8,6,2,0,1,25,10,4,11.3808,0.718937299,1,0,0,0,0,0,0,0,0,0,0,0,129.18,0.0044,47
136,8,6,2,0,0,22,9,1,9.9582,0.7794786370000001,1,0,0,0,0,0,0,0,0,0,0,0,121.08,0.2286,10
137,8,6,2,0,1,25,10,3,11.64448285,0.7026573620000001,1,0,0,0,0,0,0,0,0,0,0,0,129.68,0.0078,48
138,8,6,2,0,0,22,9,2,9.328612045,0.832085645,1,0,0,0,0,0,0,1,0,0,0,0,119.87,0.1896,3
139,8,4,4,0,1,25,10,4,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,129.76,0.0131,33
140,8,4,4,0,1,25,10,3,9.9582,0.821642627,1,0,0,0,0,0,0,0,0,0,0,0,128.8,0.0067,29
