num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,time,ZZ_features,AC_features
22,4,12,0,0,38,20,4,15.84140317,0.7304410259999999,1,0,0,0,0,0,211.16,0,0
19,7,6,0,1,35,18,5,14.01098511,0.7834862659999999,1,0,0,0,0,0,196.73,0,0
17,10,2,1,0,32,16,3,14.01098511,0.738677935,1,0,0,0,0,0,193.51,0,0
20,4,10,0,0,34,18,3,14.01098511,0.7834862659999999,1,0,0,0,0,0,202.96,0,0
18,8,2,0,2,32,17,4,12.40193927,0.860198473,1,0,0,0,0,0,195.33,0,0
18,11,4,1,0,38,18,3,16.40622355,0.669100624,1,0,0,0,0,0,192.2,0,0
21,9,6,0,0,36,19,3,17.82512691,0.632714776,1,0,0,0,0,0,206.82,0,0
22,8,6,0,0,34,19,2,14.01098511,0.8049556179999999,1,0,0,0,0,0,213.81,0,0
22,7,8,1,0,38,20,5,14.85238004,0.779081248,1,0,0,0,0,0,219.02,0,0
21,9,4,0,1,35,19,3,14.01098511,0.8049556179999999,1,0,0,0,0,0,209.13,0,0
9,7,2,0,1,27,11,4,12.40193927,0.691943365,1,0,0,0,0,0,139.94,0,0
17,9,4,0,0,32,16,2,20.9562066,0.493868273,1,0,0,0,0,0,194.45,0,0
22,8,6,2,0,38,20,4,14.85238004,0.779081248,1,0,0,0,0,0,215.91,0,0
22,9,6,1,0,38,20,4,14.85238004,0.779081248,1,0,0,0,0,0,217.71,0,0
11,5,6,0,1,31,13,5,14.01098511,0.665835293,1,0,0,0,0,0,155.37,0,0
20,8,8,0,0,38,19,3,15.84140317,0.711945846,1,0,0,0,0,0,198.96,0,0
21,9,6,0,0,36,19,3,15.84140317,0.711945846,1,0,0,0,0,0,206.17,0,0
9,9,2,0,0,28,11,2,14.01098511,0.612479388,1,0,0,0,0,0,141.38,0,0
20,7,8,1,0,38,19,4,15.84140317,0.711945846,1,0,0,0,0,0,212.81,0,0
19,7,8,0,0,36,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,200.56,0,0
15,9,4,0,0,32,15,2,14.85238004,0.674704153,1,0,0,0,0,0,172.34,0,0
20,6,10,0,0,38,19,4,18.16254095,0.620960537,1,0,0,0,0,0,200.28,0,0
