pore_id,num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,mirror_vertical,mirror_90_clock_vertical,mirror_150_clock_vertical,mirror_30_clock_vertical,mirror_60_clock_vertical,mirror_120_clock_vertical,time,probability,unique_id
1,15,7,4,0,1,31,15,4,13.57073908,0.738424225,1,0,0,0,0,0,0,0,0,0,0,0,181.05,0.0013,1
2,15,7,4,0,0,28,14,2,12.40193927,0.7806173940000001,1,0,0,0,0,0,0,0,0,0,1,0,175.34,0.0175,41
3,15,7,4,0,0,28,14,2,12.40193927,0.7806173940000001,1,0,0,0,0,0,0,0,0,0,0,1,172.24,0.0175,41
4,15,9,2,0,0,28,14,2,11.64448285,0.8313954029999999,1,0,0,0,0,0,0,0,0,0,0,0,169.54,0.0355,23
5,15,7,4,0,0,28,14,2,12.40193927,0.7806173940000001,1,0,0,0,0,0,1,0,0,0,0,0,169.88,0.0175,41
6,15,9,2,0,1,31,15,3,14.01098511,0.7152218359999999,1,0,0,0,0,0,0,0,0,0,0,0,173.13,0.0001,850
7,15,7,4,0,1,31,15,3,12.40193927,0.808015768,1,0,0,0,0,0,0,0,0,0,0,0,183.03,0.0003,136
8,15,7,4,0,0,28,14,2,11.64448285,0.8313954029999999,1,0,0,0,0,0,0,0,0,0,0,1,178.97,0.0256,19
9,15,9,2,0,1,31,15,3,14.01098511,0.7152218359999999,1,0,0,0,0,0,0,0,0,0,0,0,175.1,0.0002,154
10,15,9,2,0,0,28,14,1,12.40193927,0.7806173940000001,1,0,0,0,0,0,0,0,0,0,0,0,171.8,0.026,2
11,15,7,6,0,0,32,15,3,13.57073908,0.738424225,1,0,0,0,0,0,0,0,0,0,0,0,186.34,0.0014,71
12,15,9,2,0,0,28,14,2,11.64448285,0.8313954029999999,1,0,0,0,0,0,0,0,0,0,0,0,172.22,0.0355,23
13,15,7,4,0,0,28,14,2,11.64448285,0.8313954029999999,1,0,0,0,0,0,0,0,0,0,0,0,172.51,0.0444,13
14,15,7,4,0,0,28,14,1,12.40193927,0.7806173940000001,1,0,0,0,0,0,0,0,0,0,0,1,170.96,0.0173,12
15,15,7,4,0,0,28,14,2,12.40193927,0.7806173940000001,1,0,0,0,0,0,0,0,0,0,0,1,172.51,0.0175,41
16,15,7,4,0,0,28,14,1,12.40193927,0.7806173940000001,1,0,0,0,0,0,0,0,0,0,0,0,168.63,0.0308,5
17,15,11,0,0,0,28,14,1,14.01098511,0.690969938,1,0,0,0,0,0,0,0,0,0,0,0,168.86,0.015,14
18,15,9,2,0,0,28,14,1,13.57073908,0.713385576,1,0,0,0,0,0,0,0,0,0,0,0,176.63,0.0208,21
19,15,7,4,0,0,28,14,2,11.64448285,0.8313954029999999,1,0,0,0,0,0,0,0,0,0,0,1,175.68,0.0256,19
20,15,9,4,0,0,32,15,3,15.6486,0.640374378,1,0,0,0,0,0,0,0,0,0,0,0,181.14,0.0004,382
21,15,6,6,1,0,32,15,3,14.01098511,0.7152218359999999,1,0,0,0,0,0,0,0,0,0,0,0,183.38,0.0012,97
22,15,7,4,0,0,28,14,2,12.40193927,0.7806173940000001,1,0,0,0,0,0,0,0,0,0,1,0,178.51,0.0175,41
23,15,9,0,0,1,27,14,2,11.64448285,0.8313954029999999,1,0,0,0,0,0,0,0,0,0,1,0,176.84,0.0114,46
24,15,11,0,0,0,28,14,1,14.01098511,0.690969938,1,0,0,0,0,0,0,0,0,0,0,0,179.97,0.015,14
25,15,5,8,0,0,32,15,4,14.01098511,0.7152218359999999,1,0,0,0,0,0,0,0,0,0,0,0,169.03,0.0026,112
